dico1,medianctrl7
"Acetyl Coenzyme A Carboxylase, Beta Isoform",0
"Acetyl Coenzyme A Transport",0
"Acetate Coenzyme A Ligase (AMP-Forming)",0
"Acetyl Coenzyme A Transport, Nuclear",0
"Acetyl Coenzyme A Transport",-967.931454812011
"Acetone Transport via Proton Symport",0
"Acetone Mitochondrial Transport via Proton Symport",0
"Acgagbside Hs Intracellular Transport",0
"Acgagbside Hs Intracellular Transport",0
"Blood Group Intracellular Transport",0
"Blood Group Intracellular Transport",0
"Blood Group Intracellular Transport",0
"Blood Group Intracellular Transport",0
"N-Acetylgalactosamine Kinase",0
"N-Acetylgalactosamine Kinase (ITP)",10.7205233514953
"N-Acetyl-Galactosamine Intracellular Transport",0
"N-Acetyl-Galactosamine Lysosomal Efflux",2.41892137212459
"N-Acetylglucosamine-6-Phosphate Synthase",22.964113434324
"N-Acetylglucosamine Kinase",14.7100641496295
"Phosphoacetylglucosamine Mutase",23.6831107974303
"N-Acetyl-Glucosamine Lysosomal Efflux",14.710064149631
"Acgbgbside Hs Intracellular Transport",0
"Acgbgbside Hs Intracellular Transport",0
"N-Acetylglucosaminylphosphatidylinositol Deacetylase",0.173665898836574
"N-Acteylglutamate Synthase, Mitochondrial",0
"Acetylcholinesterase",0
"Acetylcholin Transport, Nuclear through Pores",0
"Acetylcholine Secretion via Secretory Vesicle (ATP Driven)",0
"ATP-Citrate Lyase",2.75531124673935
"Acn13Acngalgbside Hs Transport",0
"Acn13Acngalgbside Hs Intracellular Transport",0
"Acn23Acngalgbside Transport",0
"Acn23Acngalgbside Intracellular Transport",0
"Blood Group Intracellular Transport",0
"Blood Group Intracellular Transport",0
"Acnacngalgbside Hs Transport",0
"Acnacngalgbside Hs Intracellular Transport",0
"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)",1.20422121319372
"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)",2.00479728715893
"N-Acetylneuraminate Transport into Lysososme",-0.178103966928931
"N-Acetylneuraminate 9-Phosphate Phosphohydrolase",1.20422121319203
"N-Acetylneuraminate Nuclear Import",0
"Blood Group Intracellular Transport",0
"Blood Group Intracellular Transport",0
"N-Acetylneuraminate Lyase (Reversible)",-0.609088687729301
"Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",100.637021791249
"Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial",0
"Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial",37.7191347782495
"Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial",3.94291227325401
"Acetyl Coenzyme A Hydrolase",0
"Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal",3.88539788889434
"Acetylornithine Deacetylase",0
"Aconitate Hydratase",-774.896327555045
"Acyl-Coenzyme A Oxidase 2, Branched Chain",0
"Acyl-Coenzyme A Oxidase 2, Branched Chain",0
"Acid Phosphatase (FMN)",2.06779380739833
"O-Acetylcarnintine Transport into Mitochondria via Diffusion",0
"Acetyl Coenzyme A Synthase (Propionate)",0
"Acetyl Coenzyme A Synthetase",0
"S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase",0
"Acetate Mitochondrial Transport via Proton Symport",-3.22883407866774
"Acetate Reversible Transport via Proton Symport",0
"Acetate Transport, Golgi Apparatus",0
"Acetol Monooxygenase",0
"Acetone Monooxygenase",0
"Adenosine Deaminase",0
"Adenosine Deaminase, Extracellular",0
"Acetoacetate Decarboxylation (Irreversible), Mitochondrial",0
"Adenine Reversible Transport, Cytosol",-1.05118180830695
"Adenylate Kinase, Mitochondrial",869.816160694647
"Adentylate Kinase (GTP)",-145.829874204977
"Adentylate Kinase (GTP)",-866.612114123039
"Adenylate Kinase (D Form)",407.762360106062
"Adenosylmethionine Decarboxylase",3.96647837614164
"Adenylate Cyclase",0
"Adenosine Kinase, Mitochondrial",0
"Adenosine Faciliated Transport in Cytosol",2.05093531744204
"Adenosine Transport (Na/Adn Symport)",0
"Adenosine Faciliated Transport from Lysosome",2.51621716782653
"Adenosine Faciliated Transport in Mitochondria",-4.57986451877971
"ADPmannose Diphosphatase",0
"ADPribose Transport",0
"ADP Transporter, Peroxisomal",0
"Fatty Acid Intracellular Transport",1.42387826923371
"Carnitine O-Palmitoyltransferase",3.77560755217313
"Carnitine Transferase",3.77560755217021
"Transport into the Mitochondria (Carnitine)",0
"Adrenaline Secretion via Secretory Vesicle (ATP Driven)",0
"Fatty Acid Transport via Diffusion",0
"Adenylyl-Sulfate Kinase",12.1729288191382
"Adenylosuccinate Lyase",5.39151550320078
"Adenylosuccinate Lyase",3.54451430443638
"Transport of Xenobiotic",0
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.0608197545664222
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.0608197545631453
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.0608197545634399
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.0799937961930148
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.079993796194781
"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus",0.079993796193351
"Agmatinase, Mitochondrial",0
"1-Acylglycerol-3-Phosphate O-Acyltransferase 1",15.1973718319537
"Alanine-Glyoxylate Transaminase (Irreversible), Mitochondrial",0
"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",0
"Glucuronidated Compound Transport",0
"Glucuronidated Compound Transport",0
"S-Adenosyl-L-Homocysteine Intracellular Diffusion",-6.65965728689385
"Beta-N-Acetylhexosaminidase, Lysosomal",0
"Beta-N-Acetylhexosaminidase, Lysosomal",0
"Phosphoribosylaminoimidazole Carboxylase",3.54451430443891
"2-Oxoglutarate Dehydrogenase",381.214431489597
"Alpha-Ketoglutarate/Malate Transporter",-963.100345466259
"Akg Transport via Sodium Symport",0
"Akg Transporter, Peroxisome",0
"Aldo-Keto Reductase Family 1, Member C1 (Chlordecone Reductase",0
"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase",0
"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase",0
"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)",0
"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)",0
"L-Alanine/L-Asparagine Na-Dependent Exchange (Ala-L In)",28.6557780602661
"L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In)",26.8904007542636
"L-Alanine/Glutamine Reversible Antiport",0
"D-Alanine/Glycine Reversible Antiport",0
"L-Alanine/Glutamine Reversible Antiport",0
"L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In)",17.9426807921634
"L-Alanine/Glycine Reversible Antiport",0
"L-Alanine/L-Serine Na-Dependent Exchange (Ala-L In)",114.459176632639
"5-Aminolevulinate Synthase",15.7058140907048
"Alanine-Sodium Symporter",84.3157821166782
"L-Alanine Transaminase",346.791021657129
"L-Alanine/L-Threonine Na-Dependent Exchange (Ala-L In)",0
"Alanine Transport (Na, H Coupled)",0
"Alcohol Dehydrogenase (D-1, 2-Propanediol)",69.1879544771465
"Alcohol Dehydrogenase (L-1, 2-Propanediol)",89.620357223233
"Alcohol Dehydrogenase (D-Lactaldehyde)",977.858394451367
"Alcohol Dehydrogenase (L-Lactaldehyde)",71.9509283570808
"Alcohol Dehydrogenase, Forward Rxn (Ethanol -> Acetaldehyde)",0
"Alcohol Dehydrogenase (Ethanol, NADP), Forward Reaction",0
"Aldehyde Dehydrogenase (Indole-3-Acetaldehyde, NAD)",6.56271024241587
"Aldehyde Dehydrogenase (Indole-3-Acetaldehyde, NAD), Mitochondrial",6.5705811290395
"Aldehyde Dehydrogenase (Pristanal, NAD)",0
"Aldehyde Dehydrogenase (Acetylaldehyde, NAD), Mitochondrial",3.22883407866571
"Aldehyde Dehydrogenase (Acetaldehyde, NADP)",2.65396939396179
"Aldosterone Transport",0
"Aldosterone Intracellular Transport",0
"Arachidonate 12-Lipoxygenase",0
"Arachidonate 15-Lipoxygenase",0
"Arachidonate 5-Lipoxygenase",0.43522770262096
"Arachidonate 5-Lipoxygenase",0
"Aldose Reductase (Methylglyoxal)",89.6203572232323
"Aldose Reductase (Acetol)",89.6203572232334
"Alpha-Methylacyl Coenzyme A Racemase (Reductase)",0
"Alpha-Methylacyl Coenzyme A Racemase",0
"2-Aminomuconate Reductase",0
"S-Adenosyl-L-Methionine Intracellular Diffusion",6.65965728689344
"S-Adenosyl-L-Methionine Reversible Transport, Mitochondrial",1.24841639145141
"Adenosine Monophosphate Deaminase",2.43793667896138
"Alanyl Aminopeptidase (Cys-Gly) (E)",1.40184431471576
"AMP Transporter, Peroxisome",0
"Alpha-Amylase, Extracellular (Strch1 -> Strch2)",0
"Alpha-Amylase, Extracellular (Glygn2 -> Glygn4)",0
"Glucuronidated Compound Transport",0
"Glucuronidated Compound Transport, Endoplasmatic Reticulum",0
"Androsterone Transport",0
"Androsterone Intracellular Transport",0
"Transport of Antipyrine",0
"L-2-Amino-3-Oxobutanoate Decarboxylation, Mitochondrial (Spontaneous)",0
"3-Aminopropanoate:2-Oxoglutarate Aminotransferase, Mitochondrial",0
"Transport of Alpha-Pinene Oxide",0
"Apocarboxylase Formation",0
"Apocarboxylase Formation, Mitochondrial",0
"Proteolysis of ApoC-Lys-Biotin",0
"Proteolysis of ApoC-Lys-Biotin, Mitochondrial",0
"Transport of (+)-Alpha-Pinene",0
"N-Acetylputrescine: Oxygen Oxireductase (Deaminating)",0
"Aquacob-(III)-Alamin Uptake",0
"L-Arabinoase Extracellular Transport",0
"Arabinose Reductase",0
"Fatty Acid Intracellular Transport",0
"Carnitine Transferase",3.40234142187205
"Carnitine Transferase",3.40234142187037
"Transport into the Mitochondria (Carnitine)",3.40234142187205
"Fatty Acid Intracellular Transport",0
"Fatty Acid Transport via Diffusion",0
"Intracellular Transport",0
"Fatty Acid Transport via Diffusion",0
"Arginine Decarboxylase, Mitochondrial",0
"Arginine/Lysine Exchanger (Arg In)",0
"Arginase, Mitochondrial",0
"Argininosuccinate Synthase",0
"L-Arginine Transport in via Sodium Symport",0
"Arginine Mitochondrial Transport via Ornithine Carrier",0
"Arylsulfatase A",0
"R Group Coenzyme A Ligase",0
"R Group Coenzyme A Ligase",0
"R Group Coenzyme A Ligase",0
"R Group Phosphotase 1",20.7532778865655
"R Group Phosphotase 2",6.00927140129359
"R Group Phosphotase 3",0
"R Group Artificial Flux",0.109257850265036
"R Group to Palmitate Conversion",0
"R Group to Palmitate Conversion",0
"N-Acylsphingosine Amidohydrolase",0.240925405032213
"Ascorbic Acid Oxidase",0
"L-Ascorbate Transport via Facilitated Diffusion",0
"L-Ascorbate Transport via Proton Symport",0
"L-Alanine/L-Asparagine Na-Dependent Exchange (Asn-L In)",58.4364570363019
"L-Cysteine/L-Asparagine Na-Dependent Exchange (Asn-L In)",24.0300410656807
"L-Glutamine/L-Asparagine Na-Dependent Exchange (Asn-L In)",0
"L-Asparaginase, Mitochondrial",0
"Asparagine Synthase (Glutamine-Hydrolysing)",5.21649947775596
"L-Serine/L-Asparagine Na-Dependent Exchange (Asn-L In)",0
"L-Asparagine Transport in via Sodium Symport",48.0256518560538
"L-Threonine/L-Asparagine Na-Dependent Exchange (Asn-L In)",189.656579789317
"L-Asparagine Transport, Mitochondrial",0
"Asparagine Transport (Na, H Coupled)",0
"Aspartate Carbamoyltransferase (Reversible)",3.90538155311375
"D-Aspartate Transport via Na, H Symport And K Antiport",0
"D-Aspartate Transport, Peroxisomal",0
"Aspartate-Glutamate Mitochondrial Shuttle",0
"Aspartate N-Acetyltransferase, Mitochondrial",0
"L-Aspartate Transport via Na, H Symport And K Antiport",0
"Aspartate Transaminase",1.57867090788342
"ADP/ATP Transporter, Endoplasmic Reticulum",0
"AMP/ATP Transporter, Endoplasmic Reticulum",227.723638714953
"V-Type ATPase, H+ Transporting, Lysosomal",0
"ATP Diphosphohydrolase",0.84440184380355
"ATP Diphosphohydrolase",0
"ADP/ATP Transporter, Mitochondrial",895.331169841474
"ATP Diffusion in Nucleus",0
"ATP Transporter, Peroxisomal",0
"Alpha-Tocotrienol (Vit. E) Transport",0
"Beta-Mannosidase, Lysosomal",0
"Beta-1, 3-Galactosyltransferase 3",0
"Beta-1, 3-Galactosyltransferase 4",0.645408790014601
"Beta-1, 3-Galactosyltransferase 4",0
"Beta-1, 3-Galactosyltransferase 4",0
"Beta-1, 3-Galactosyltransferase 4",0
"Beta-1, 3-Galactosyltransferase 5",0
"Beta Galactosyltransferase",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 1",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 1",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 3, Golgi Apparatus",0
"UDP-GlcNac:Betagal Beta-1, 3-N-Acetylglucosaminyltransferase 5",0
"Bile Acid Coenzyme A: Amino Acid N-Acyltransferase",0
"Bile Acid Coenzyme A: Amino Acid N-Acyltransferase",0
"Bile Acid Coenzyme A: Amino Acid N-Acyltransferase",0
"Bile Acid Coenzyme A: Amino Acid N-Acyltransferase",0
"Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase",0
"Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase, Mitochondrial",0
"Beta-Alanine Reversible Mitochondrial Transport (Diffusion)",0
"B-Alanine Secretion via Secretory Vesicle (ATP Driven)",0
"Beta-Aminopropion Aldehyde:NAD+ Oxidoreductase",2.18350054635703
"4-Trimethylammoniobutanoate, 2-Oxoglutarate:Oxygen Oxidoreductase (3-Hydroxylating)",0
"Beta-Carotene Dioxygenase",0
"(R)-3-Hydroxybutanoate:NAD+ Oxidoreductase",0
"Betaine-Aldehyde Dehydrogenase, Mitochondrial",0
"(R)-3-Hydroxybutanoate Transport via H+ Symport",0
"(R)-3-Hydroxybutanoate Mitochondrial Transport via H+ Symport",0
"Betaine-Homocysteine S-Methyltransferase",1.92114632563529
"Bilirubin Beta-Diglucuronide Transport via Bicarbonate Antiport",0
"Bilirubin Beta-Diglucuronide Transport Mdr",1.45575639911099
"Glucuronidated Compound Transport",-1.45575639911037
"Bilirubin Monoglucuronide Transport via Bicarbonate Antiport",0.27145583645065
"Bilirubin Monoglucuronide Transport Mdr",0
"Glucuronidated Compound Transport",21.1966447125142
"NAD (P)H Biliverdin Reductase",0.448545534166155
"Bilirubin Transport via Bicarbonate Antiport",0
"Lipid, Flip-Flop Intracellular Transport",-19.3499345010865
"Biocytin Transport, Nuclear",0
"B Mannosyltransferase, Endoplasmic Reticulum",0.173665898833444
"3', 5'-Bisphosphate Nucleotidase (Paps)",1.6276544965259
"Biotinidase (Biotin)",0
"Biotinidase (Biotin), Nuclear",0
"Biotinidase (Biotin), Extracellular",0
"Biotinidase (Biotin), Mitochondrial",0
"Holocarboxylase Synthestase (Biotin Protein Ligase)",0
"Holocarboxylase Synthestase (Biotin Protein Ligase), Mitochondrial",0
"Biotin Reversible Transport via Proton Symport",0
"Biotin Reversible Transport via Proton Symport, Mitochondria",0
"Biotin Transport via Sodium Symport",0
"Biotin Uptake (Antiport)",0
"Biotin Transport, Nuclear",0
"Beta-Ureidopropionase (D-3-Amino-Isobutanoate Forming)",0
"Butyrate Mitochondrial Transport via Proton Symport, Reversible",0
"Beta-Tocopherol (Vit. E) Transport",0
"Benzoate Transport (Diffusion)",0
